video,img_name,time_s,genus,species,detection_threshold
benthic_short_single,frame26,1.0,shark,,0.8567919
benthic_short_single,frame27,1.0,shark,,0.93880653
benthic_short_single,frame28,1.0,shark,,0.90953416
benthic_short_single,frame29,1.0,shark,,0.93746644
benthic_short_single,frame30,2.0,shark,,0.95279294
benthic_short_single,frame31,2.0,shark,,0.9082142
benthic_short_single,frame32,2.0,shark,,0.9289434
benthic_short_single,frame33,2.0,shark,,0.9261351
benthic_short_single,frame34,2.0,shark,,0.9681864
benthic_short_single,frame35,2.0,shark,,0.9725333
benthic_short_single,frame36,2.0,shark,,0.9634273
benthic_short_single,frame37,2.0,shark,,0.9730564
benthic_short_single,frame38,2.0,shark,,0.94950116
benthic_short_single,frame39,2.0,shark,,0.90910023
benthic_short_single,frame40,2.0,shark,,0.9288304
benthic_short_single,frame41,2.0,shark,,0.91218406
benthic_short_single,frame42,2.0,shark,,0.92415595
benthic_short_single,frame43,2.0,shark,,0.9260129
benthic_short_single,frame48,3.0,shark,,0.88767374
benthic_short_single,frame49,3.0,shark,,0.9398291
benthic_short_single,frame51,3.0,shark,,0.83795863
benthic_short_single,frame54,3.0,shark,,0.91682345
benthic_short_single,frame100,6.0,shark,,0.8327336
benthic_short_single,frame101,6.0,shark,,0.90453684
benthic_short_single,frame102,6.0,shark,,0.8225502
benthic_short_single,frame108,7.0,shark,,0.867197
benthic_short_single,frame109,7.0,shark,,0.9019354
benthic_short_single,frame111,7.0,shark,,0.83378536
benthic_short_single,frame112,7.0,shark,,0.9094507
benthic_short_single,frame113,7.0,shark,,0.8489062
benthic_short_single,frame169,11.0,shark,,0.8429246
benthic_short_single,frame170,11.0,shark,,0.8426612
benthic_short_single,frame171,11.0,shark,,0.86195844
benthic_short_single,frame198,13.0,shark,,0.9382358
benthic_short_single,frame199,13.0,shark,,0.940768
benthic_short_single,frame200,13.0,shark,,0.93874514
benthic_short_single,frame201,13.0,shark,,0.9621358
benthic_short_single,frame202,13.0,shark,,0.965758
benthic_short_single,frame203,13.0,shark,,0.9534912
benthic_short_single,frame204,13.0,shark,,0.9653898
benthic_short_single,frame205,13.0,shark,,0.9815107
benthic_short_single,frame206,13.0,shark,,0.9663776
benthic_short_single,frame207,13.0,shark,,0.9473637
benthic_short_single,frame213,14.0,shark,,0.806852
benthic_short_single,frame214,14.0,shark,,0.8399424
benthic_short_single,frame217,14.0,shark,,0.8664822
benthic_short_single,frame218,14.0,shark,,0.9220011
benthic_short_single,frame219,14.0,shark,,0.9082154
benthic_short_single,frame220,14.0,shark,,0.90625393
benthic_short_single,frame221,14.0,shark,,0.87286997
benthic_short_single,frame222,14.0,shark,,0.86029667
benthic_short_single,frame223,14.0,shark,,0.8664748
benthic_short_single,frame224,14.0,shark,,0.849191
benthic_short_single,frame227,15.0,shark,,0.83826363
benthic_short_single,frame240,16.0,shark,,0.85039085
