video,img_name,time_s,genus,species,detection_threshold
pelagic_short,frame12,1.0,shark,,0.86992514
pelagic_short,frame13,1.0,shark,,0.85103667
pelagic_short,frame14,1.0,shark,,0.91853076
pelagic_short,frame15,1.0,shark,,0.9506003
pelagic_short,frame16,1.0,shark,,0.94241464
pelagic_short,frame17,1.0,shark,,0.9650984
pelagic_short,frame18,1.0,shark,,0.9775325
pelagic_short,frame19,1.0,shark,,0.97726256
pelagic_short,frame20,1.0,shark,,0.9668928
pelagic_short,frame21,2.0,shark,,0.96682525
pelagic_short,frame22,2.0,shark,,0.94129896
pelagic_short,frame23,2.0,shark,,0.9223244
pelagic_short,frame24,2.0,shark,,0.9210884
pelagic_short,frame25,2.0,shark,,0.9267756
pelagic_short,frame26,2.0,shark,,0.89232546
pelagic_short,frame27,2.0,shark,,0.83506334
pelagic_short,frame28,2.0,shark,,0.893718
pelagic_short,frame29,2.0,shark,,0.8804489
pelagic_short,frame30,2.0,shark,,0.9533951
pelagic_short,frame31,2.0,shark,,0.9787629
pelagic_short,frame32,3.0,shark,,0.97833234
pelagic_short,frame33,3.0,shark,,0.98261154
pelagic_short,frame34,3.0,shark,,0.9518245
pelagic_short,frame35,3.0,shark,,0.95681506
pelagic_short,frame36,3.0,shark,,0.9772709
pelagic_short,frame37,3.0,shark,,0.97841245
pelagic_short,frame38,3.0,shark,,0.96514845
pelagic_short,frame39,3.0,shark,,0.97379476
pelagic_short,frame40,3.0,shark,,0.9825935
pelagic_short,frame41,3.0,shark,,0.9897343
pelagic_short,frame42,4.0,shark,,0.9913111
pelagic_short,frame43,4.0,shark,,0.99344325
pelagic_short,frame44,4.0,shark,,0.99096596
pelagic_short,frame45,4.0,shark,,0.9937022
pelagic_short,frame46,4.0,shark,,0.99301803
pelagic_short,frame47,4.0,shark,,0.99311745
pelagic_short,frame48,4.0,shark,,0.99234277
pelagic_short,frame49,4.0,shark,,0.993383
pelagic_short,frame50,4.0,shark,,0.996033
pelagic_short,frame51,4.0,shark,,0.99478096
pelagic_short,frame52,5.0,shark,,0.994072
pelagic_short,frame53,5.0,shark,,0.9921445
pelagic_short,frame54,5.0,shark,,0.9809631
pelagic_short,frame55,5.0,shark,,0.9798458
pelagic_short,frame56,5.0,shark,,0.97868013
pelagic_short,frame57,5.0,shark,,0.98000324
pelagic_short,frame58,5.0,shark,,0.97741175
pelagic_short,frame59,5.0,shark,,0.974221
pelagic_short,frame60,5.0,shark,,0.9371537
pelagic_short,frame61,5.0,shark,,0.9037896
pelagic_short,frame62,5.0,shark,,0.9289214
pelagic_short,frame63,6.0,shark,,0.92772007
pelagic_short,frame64,6.0,shark,,0.93218297
pelagic_short,frame65,6.0,shark,,0.9531138
pelagic_short,frame66,6.0,shark,,0.95008886
pelagic_short,frame67,6.0,shark,,0.9600803
pelagic_short,frame68,6.0,shark,,0.93102276
pelagic_short,frame69,6.0,shark,,0.8479048
pelagic_short,frame70,6.0,shark,,0.88305104
pelagic_short,frame71,6.0,shark,,0.9298376
pelagic_short,frame72,6.0,shark,,0.93637437
pelagic_short,frame73,7.0,shark,,0.9500318
pelagic_short,frame74,7.0,shark,,0.9856893
pelagic_short,frame75,7.0,shark,,0.9908274
pelagic_short,frame76,7.0,shark,,0.9825341
pelagic_short,frame77,7.0,shark,,0.9814842
pelagic_short,frame78,7.0,shark,,0.95637095
pelagic_short,frame79,7.0,shark,,0.9418627
pelagic_short,frame80,7.0,shark,,0.9395851
pelagic_short,frame81,7.0,shark,,0.9467182
pelagic_short,frame82,7.0,shark,,0.96824867
pelagic_short,frame83,7.0,shark,,0.9689845
pelagic_short,frame84,8.0,shark,,0.9680389
pelagic_short,frame85,8.0,shark,,0.9579372
pelagic_short,frame86,8.0,shark,,0.9714337
pelagic_short,frame87,8.0,shark,,0.9736423
pelagic_short,frame88,8.0,shark,,0.97581327
pelagic_short,frame89,8.0,shark,,0.9788271
pelagic_short,frame90,8.0,shark,,0.9818755
pelagic_short,frame91,8.0,shark,,0.97993773
pelagic_short,frame92,8.0,shark,,0.9804047
pelagic_short,frame93,8.0,shark,,0.9812904
pelagic_short,frame94,9.0,shark,,0.97752976
pelagic_short,frame95,9.0,shark,,0.9676923
pelagic_short,frame96,9.0,shark,,0.9616179
pelagic_short,frame97,9.0,shark,,0.96252525
pelagic_short,frame98,9.0,shark,,0.9805089
pelagic_short,frame99,9.0,shark,,0.96730417
pelagic_short,frame100,9.0,shark,,0.9664505
pelagic_short,frame101,9.0,shark,,0.9710941
pelagic_short,frame102,9.0,shark,,0.97884107
pelagic_short,frame103,9.0,shark,,0.97051024
pelagic_short,frame105,10.0,shark,,0.85790914
pelagic_short,frame107,10.0,shark,,0.8109763
pelagic_short,frame128,12.0,shark,,0.80236536
pelagic_short,frame129,12.0,shark,,0.84254426
pelagic_short,frame130,12.0,shark,,0.86042696
pelagic_short,frame131,12.0,shark,,0.8857761
