chapter_path,frame,time,track_metadata,track_id,xmin,ymin,xmax,ymax,confidence,class
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH010009_A.MP4,1132,03:46:40,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH010009_A.MP4/46,0,2.611271858215332,400.6332092285156,228.1083984375,623.570068359375,0.8144662976264954,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH010009_A.MP4,1135,03:47:00,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH010009_A.MP4/46,0,43.22067260742188,549.5853271484375,223.85903930664065,711.822021484375,0.5233352780342102,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,1993,06:38:60,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,2.574373245239258,267.2430114746094,534.3335571289062,538.660888671875,0.4648415148258209,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,1995,06:39:00,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,3.4488353729248047,278.4434509277344,531.399169921875,567.7019653320312,0.2742870151996612,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,1996,06:39:20,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,1.1547099351882937,307.5007019042969,531.7559204101562,577.7041625976562,0.6305679678916931,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,1998,06:39:60,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,51.83330535888672,392.9094848632813,558.2396240234375,658.508056640625,0.421248584985733,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,2001,06:40:20,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,31.30984115600586,397.4877014160156,556.59912109375,666.9999389648438,0.5349913835525513,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,2003,06:40:60,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,6.8250412940979,405.5132751464844,536.1174926757812,671.1847534179688,0.4953830242156982,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,2004,06:40:80,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,0.0,437.057373046875,524.9121704101562,730.8336181640625,0.5646568536758423,elasmobranch
/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4,2005,06:41:00,/Volumes/Nuevo vol/BRUVS/BRUV Go pro 1station/05:02:22 VILLINGILI/GH020009_B.MP4/31,1,0.0,473.0503234863281,523.5721435546875,762.7649536132812,0.796311616897583,elasmobranch
